CalendarDay2,Year,DistrictName,StateName,Country,StateCode,DistrictCode,TotalPopulation,Category of Population,TotalPopulationUrban,TotalPopulationRural,TotalPopulationMale,TotalPopulationMaleUrban,TotalPopulationMaleRural,TotalPopulationFemale,TotalPopulationFemaleUrban,TotalPopulationFemaleRural,NumberOfHouseholds,NumberOfHouseholdsUrban,NumberOfHouseholdsRural,LandAreaUrban,LandAreaRural,LandArea,Density,Category by Density,NumberOfChildren,NumberOfParents,WeighingRatio_TotalPopulation,WeighingRatio_Percentage_TotalPopulation,WeighingRatio_TotalPopulationUrban,WeighingRatio_Percentage_TotalPopulationUrban,WeighingRatio_TotalPopulationRural,WeighingRatio_Percentage_TotalPopulationRural,WeighingRatio_TotalPopulationMale,WeighingRatio_Percentage_TotalPopulationMale,WeighingRatio_TotalPopulationMaleUrban,WeighingRatio_Percentage_TotalPopulationMaleUrban,WeighingRatio_TotalPopulationMaleRural,WeighingRatio_Percentage_TotalPopulationMaleRural,WeighingRatio_TotalPopulationFemale,WeighingRatio_Percentage_TotalPopulationFemale,WeighingRatio_TotalPopulationFemaleUrban,WeighingRatio_Percentage_TotalPopulationFemaleUrban,WeighingRatio_TotalPopulationFemaleRural,WeighingRatio_Percentage_TotalPopulationFemaleRural,WeighingRatio_NumberOfHouseholds,WeighingRatio_Percentage_NumberOfHouseholds,WeighingRatio_NumberOfHouseholdsUrban,WeighingRatio_Percentage_NumberOfHouseholdsUrban,WeighingRatio_NumberOfHouseholdsRural,WeighingRatio_Percentage_NumberOfHouseholdsRural,WeighingRatio_LandAreaUrban,WeighingRatio_Percentage_LandAreaUrban,WeighingRatio_LandAreaRural,WeighingRatio_Percentage_LandAreaRural,WeighingRatio_Percentage_LandArea,WeighingRatio_LandArea
03-05-2026,"Calendar Year (Jan - Dec), 2026",Umaria,Madhya Pradesh,India,23,436,644772,Moderately Populated,110544,534228,330683,57610,273073,314089,52934,261155,145028,23783,121245,15282,434365,449647,1.433951522,Very Sparse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
03-05-2026,"Calendar Year (Jan - Dec), 2026",Rayagada,Odisha,India,21,370,970643,Moderately Populated,146966,823677,473373,74186,399187,497270,72780,424490,226718,34576,192142,5786,669918,675704,1.436491422,Very Sparse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
03-05-2026,"Calendar Year (Jan - Dec), 2026",Pakyong,Sikkim,India,11,741,83894,Sparsely Populated,5883,78011,43484,3174,40310,40410,2709,37701,17804,1269,16535,400,56985,57385,1.461949987,Very Sparse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
03-05-2026,"Calendar Year (Jan - Dec), 2026",Kondagaon,Chhattisgarh,India,22,643,578824,Moderately Populated,57983,520841,284781,28980,255801,294043,29003,265040,121580,12876,108704,8638,385623,394261,1.468123908,Very Sparse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
03-05-2026,"Calendar Year (Jan - Dec), 2026",Churu,Rajasthan,India,8,96,2066178,Densely Populated,602866,1463312,1065425,310397,755028,1000753,292469,708284,353631,97763,255868,22701,1350000,1367878,1.510498743,Very Sparse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
03-05-2026,"Calendar Year (Jan - Dec), 2026",Shimla,Himachal Pradesh,India,2,23,814010,Moderately Populated,201351,612659,425039,110744,314295,388971,90607,298364,184362,54508,129854,5546,523652,529198,1.538195534,Very Sparse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
03-05-2026,"Calendar Year (Jan - Dec), 2026",Nagarkurnool,Telangana,India,36,694,861766,Moderately Populated,87830,773936,437986,44849,393137,423780,42981,380799,196261,19033,177228,6648,541580,548228,1.571911686,Very Sparse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
03-05-2026,"Calendar Year (Jan - Dec), 2026",Chikkamagaluru,Karnataka,India,29,532,1138929,Moderately Populated,239508,899421,567108,119077,448031,571821,120431,451390,276307,57838,218469,11053,704562,715615,1.591538746,Very Sparse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
03-05-2026,"Calendar Year (Jan - Dec), 2026",Simdega,Jharkhand,India,20,342,599578,Moderately Populated,42944,556634,300309,21884,278425,299269,21060,278209,118288,8252,110036,3620,371646,375266,1.597741335,Very Sparse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
03-05-2026,"Calendar Year (Jan - Dec), 2026",Jashpur,Chhattisgarh,India,22,380,852031,Moderately Populated,75992,776039,424923,38440,386483,427108,37552,389556,192657,16538,176119,7891,524143,532034,1.601459681,Very Sparse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
