CalendarDay2,Year,DistrictName,StateName,Country,StateCode,DistrictCode,TotalPopulation,Category of Population,TotalPopulationUrban,TotalPopulationRural,TotalPopulationMale,TotalPopulationMaleUrban,TotalPopulationMaleRural,TotalPopulationFemale,TotalPopulationFemaleUrban,TotalPopulationFemaleRural,NumberOfHouseholds,NumberOfHouseholdsUrban,NumberOfHouseholdsRural,LandAreaUrban,LandAreaRural,LandArea,Density,Category by Density,NumberOfChildren,NumberOfParents,WeighingRatio_TotalPopulation,WeighingRatio_Percentage_TotalPopulation,WeighingRatio_TotalPopulationUrban,WeighingRatio_Percentage_TotalPopulationUrban,WeighingRatio_TotalPopulationRural,WeighingRatio_Percentage_TotalPopulationRural,WeighingRatio_TotalPopulationMale,WeighingRatio_Percentage_TotalPopulationMale,WeighingRatio_TotalPopulationMaleUrban,WeighingRatio_Percentage_TotalPopulationMaleUrban,WeighingRatio_TotalPopulationMaleRural,WeighingRatio_Percentage_TotalPopulationMaleRural,WeighingRatio_TotalPopulationFemale,WeighingRatio_Percentage_TotalPopulationFemale,WeighingRatio_TotalPopulationFemaleUrban,WeighingRatio_Percentage_TotalPopulationFemaleUrban,WeighingRatio_TotalPopulationFemaleRural,WeighingRatio_Percentage_TotalPopulationFemaleRural,WeighingRatio_NumberOfHouseholds,WeighingRatio_Percentage_NumberOfHouseholds,WeighingRatio_NumberOfHouseholdsUrban,WeighingRatio_Percentage_NumberOfHouseholdsUrban,WeighingRatio_NumberOfHouseholdsRural,WeighingRatio_Percentage_NumberOfHouseholdsRural,WeighingRatio_LandAreaUrban,WeighingRatio_Percentage_LandAreaUrban,WeighingRatio_LandAreaRural,WeighingRatio_Percentage_LandAreaRural,WeighingRatio_Percentage_LandArea,WeighingRatio_LandArea
03-05-2026,"Calendar Year (Jan - Dec), 2026",Spsr Nellore,Andhra Pradesh,India,28,515,2539191,Densely Populated,775372,1763819,1279436,391619,887817,1259755,383753,876002,655932,188746,467186,20665,949031,969696,2.618543337,Very Sparse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
03-05-2026,"Calendar Year (Jan - Dec), 2026",Ananthapur,Andhra Pradesh,India,28,502,2604374,Densely Populated,1116334,1488040,1316045,560107,755938,1288329,556227,732102,606406,260593,345813,33403,959740,993143,2.622355492,Very Sparse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
03-05-2026,"Calendar Year (Jan - Dec), 2026",Vikarabad,Telangana,India,36,698,927140,Moderately Populated,124969,802171,463350,62455,400895,463790,62514,401276,194956,25628,169328,6190,347030,353220,2.624823056,Very Sparse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
03-05-2026,"Calendar Year (Jan - Dec), 2026",Ahmednagar,Maharashtra,India,27,466,4560580,Densely Populated,912617,3647963,2351873,469918,1881955,2208707,442699,1766008,933661,190941,742720,46657,1680000,1723214,2.646554636,Very Sparse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
03-05-2026,"Calendar Year (Jan - Dec), 2026",Tapi,Gujarat,India,24,641,807022,Moderately Populated,79487,727535,402188,40640,361548,404834,38847,365987,177091,17063,160028,3479,300500,303979,2.654861027,Very Sparse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
03-05-2026,"Calendar Year (Jan - Dec), 2026",Mandsaur,Madhya Pradesh,India,23,416,1340411,Moderately Populated,277604,1062807,682851,141864,540987,657560,135740,521820,286808,56395,230413,9376,493639,503015,2.664753536,Very Sparse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
03-05-2026,"Calendar Year (Jan - Dec), 2026",Buldhana,Maharashtra,India,27,472,2588964,Densely Populated,548860,2040104,1338993,282318,1056675,1249971,266542,983429,562042,110220,451822,12076,957649,969298,2.670968061,Very Sparse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
03-05-2026,"Calendar Year (Jan - Dec), 2026",Mahoba,Uttar Pradesh,India,9,165,875958,Moderately Populated,185381,690577,466358,98349,368009,409600,87032,322568,158435,33757,124678,2791,322886,325677,2.689652631,Very Sparse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
03-05-2026,"Calendar Year (Jan - Dec), 2026",Satara,Maharashtra,India,27,494,3021350,Densely Populated,570378,2450972,1520085,291093,1228992,1501265,279285,1221980,657352,125148,532204,43517,1080000,1120130,2.697320847,Very Sparse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
03-05-2026,"Calendar Year (Jan - Dec), 2026",Porbandar,Gujarat,India,24,456,584704,Moderately Populated,285674,299030,299843,146949,152894,284861,138725,146136,124373,61152,63221,17833,197698,215531,2.712853371,Very Sparse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
03-05-2026,"Calendar Year (Jan - Dec), 2026",Kamareddy,Telangana,India,36,685,972625,Moderately Populated,123622,849003,478389,60901,417488,494236,62721,431515,222513,27106,195407,3373,353517,356890,2.725279498,Very Sparse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
03-05-2026,"Calendar Year (Jan - Dec), 2026",East Nimar,Madhya Pradesh,India,23,405,1309693,Moderately Populated,259436,1050257,674139,133146,540993,635554,126290,509264,266588,50473,216115,9676,470167,479843,2.729419831,Very Sparse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
03-05-2026,"Calendar Year (Jan - Dec), 2026",Botad,Gujarat,India,24,676,653814,Moderately Populated,209542,444272,336031,108627,227404,317783,100915,216868,121238,40033,81205,15059,224463,239522,2.729661576,Very Sparse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
03-05-2026,"Calendar Year (Jan - Dec), 2026",West Singhbhum,Jharkhand,India,20,343,1501570,Moderately Populated,218034,1283536,749023,111728,637295,752547,106306,646241,301887,44752,257135,11392,538669,550061,2.72982451,Very Sparse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
03-05-2026,"Calendar Year (Jan - Dec), 2026",Shajapur,Madhya Pradesh,India,23,430,941403,Moderately Populated,176219,765184,487468,90907,396561,453935,85312,368623,184154,33750,150404,7202,335037,342239,2.750718065,Very Sparse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
03-05-2026,"Calendar Year (Jan - Dec), 2026",Chatra,Jharkhand,India,20,323,1043592,Moderately Populated,62954,980638,534300,33724,500576,509292,29230,480062,182379,10975,171404,3261,376127,379388,2.750724852,Very Sparse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
03-05-2026,"Calendar Year (Jan - Dec), 2026",Korba,Chhattisgarh,India,22,383,1206640,Moderately Populated,446290,760350,612915,231491,381424,593725,214799,378926,280073,99855,180218,27650,410165,437815,2.75604993,Very Sparse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
03-05-2026,"Calendar Year (Jan - Dec), 2026",Karauli,Rajasthan,India,8,108,1079147,Moderately Populated,218105,861042,580635,115454,465181,498512,102651,395861,194813,37933,156880,9293,381510,390803,2.761358024,Very Sparse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
03-05-2026,"Calendar Year (Jan - Dec), 2026",Bemetara,Chhattisgarh,India,22,650,795759,Moderately Populated,74567,721192,397650,37282,360368,398109,37285,360824,158768,15346,143422,9151,276638,285789,2.784428372,Very Sparse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
03-05-2026,"Calendar Year (Jan - Dec), 2026",Datia,Madhya Pradesh,India,23,401,806278,Moderately Populated,181982,624296,430843,96191,334652,375435,85791,289644,164042,34198,129844,2979,286289,289187,2.788085218,Very Sparse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
03-05-2026,"Calendar Year (Jan - Dec), 2026",Medak,Telangana,India,36,513,767428,Moderately Populated,58854,708574,378654,28563,350091,388774,30291,358483,168677,12208,156469,3510,271706,275216,2.788457066,Very Sparse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
03-05-2026,"Calendar Year (Jan - Dec), 2026",South Tripura,Tripura,India,16,271,430751,Sparsely Populated,39059,391692,220162,19753,200409,210589,19306,191283,104683,10632,94051,3774,150095,153869,2.799465779,Very Sparse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
03-05-2026,"Calendar Year (Jan - Dec), 2026",Gondia,Maharashtra,India,27,476,1324468,Moderately Populated,225930,1098538,662548,113620,548928,661920,112310,549610,292785,48529,244256,9416,463546,472962,2.80036874,Very Sparse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
03-05-2026,"Calendar Year (Jan - Dec), 2026",Siddipet,Telangana,India,36,692,1012065,Moderately Populated,139052,873013,504141,69266,434875,507924,69786,438138,238049,31612,206437,7111,354077,361188,2.802044918,Very Sparse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
03-05-2026,"Calendar Year (Jan - Dec), 2026",Nabarangpur,Odisha,India,21,366,1221813,Moderately Populated,87625,1134188,605238,44041,561197,616575,43584,572991,273632,20215,253417,31752,400326,431313,2.832775734,Very Sparse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
03-05-2026,"Calendar Year (Jan - Dec), 2026",Hamirpur,Uttar Pradesh,India,9,149,1104285,Moderately Populated,209848,894437,593537,112164,481373,510748,97684,413064,204863,38163,166700,3138,384564,387702,2.84828296,Very Sparse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
03-05-2026,"Calendar Year (Jan - Dec), 2026",Khargone,Madhya Pradesh,India,23,414,1872739,Moderately Populated,298856,1573883,952925,153725,799200,919814,145131,774683,367894,58673,309221,5731,650686,656417,2.85297151,Very Sparse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
03-05-2026,"Calendar Year (Jan - Dec), 2026",Bagalkot,Karnataka,India,29,524,1891190,Moderately Populated,597846,1293344,950834,299844,650990,940356,298002,642354,361454,118459,242995,18292,641139,659431,2.867911882,Very Sparse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
03-05-2026,"Calendar Year (Jan - Dec), 2026",Rajanna Sircilla,Telangana,India,36,683,552037,Moderately Populated,116892,435145,274109,58318,215791,277928,58574,219354,138992,28986,110006,4139,186243,190382,2.899628116,Very Sparse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
03-05-2026,"Calendar Year (Jan - Dec), 2026",Parbhani,Maharashtra,India,27,489,1839534,Moderately Populated,569806,1269728,944689,290984,653705,894845,278822,616023,361897,104731,257166,11289,622545,632579,2.907990939,Very Sparse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
03-05-2026,"Calendar Year (Jan - Dec), 2026",Kabirdham,Chhattisgarh,India,22,382,822564,Moderately Populated,87395,735169,412079,44117,367962,410485,43278,367207,178456,19146,159310,5615,276655,282270,2.914103518,Very Sparse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
03-05-2026,"Calendar Year (Jan - Dec), 2026",Sagar,Madhya Pradesh,India,23,425,2364992,Densely Populated,695128,1669864,1249205,364972,884233,1115787,330156,785631,515131,135648,379483,17983,793389,811372,2.914806032,Very Sparse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
03-05-2026,"Calendar Year (Jan - Dec), 2026",Balod,Chhattisgarh,India,22,646,826280,Moderately Populated,105498,720782,408694,52555,356139,417586,52943,364643,175494,24675,150819,6975,274741,281620,2.934024572,Very Sparse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
03-05-2026,"Calendar Year (Jan - Dec), 2026",Mahabubabad,Telangana,India,36,688,774549,Moderately Populated,76376,698173,388058,37528,350530,386491,38848,347643,195889,18336,177553,4560,258927,263487,2.939609924,Very Sparse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
03-05-2026,"Calendar Year (Jan - Dec), 2026",Chikballapur,Karnataka,India,29,630,1257407,Moderately Populated,281119,976288,637613,141974,495639,619794,139145,480649,285187,63711,221476,5733,421314,427047,2.944422979,Very Sparse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
03-05-2026,"Calendar Year (Jan - Dec), 2026",Udaipur,Rajasthan,India,8,117,2514825,Densely Populated,593075,1921750,1285294,307482,977812,1229531,285593,943938,509554,124180,385374,13036,840002,853038,2.948080859,Very Sparse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
03-05-2026,"Calendar Year (Jan - Dec), 2026",Amravati,Maharashtra,India,27,468,2886433,Densely Populated,1037287,1849146,1479758,530135,949623,1406675,507152,899523,647015,217169,429846,24236,954909,977824,2.951894206,Very Sparse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
03-05-2026,"Calendar Year (Jan - Dec), 2026",Bharuch,Gujarat,India,24,442,1551019,Moderately Populated,524959,1026060,805707,276314,529393,745312,248645,496667,333483,116185,217298,16979,507684,524663,2.956219516,Very Sparse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
03-05-2026,"Calendar Year (Jan - Dec), 2026",Gomati,Tripura,India,16,654,445454,Sparsely Populated,83972,361482,227433,43004,184429,218021,40968,177053,103492,21265,82227,4085,146164,150249,2.964771812,Very Sparse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
03-05-2026,"Calendar Year (Jan - Dec), 2026",The Nilgirish,Tamil Nadu,India,33,587,724718,Moderately Populated,424979,299739,355469,209560,145909,369249,215419,153830,196449,113428,83021,56453,185953,242406,2.989686724,Very Sparse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
03-05-2026,"Calendar Year (Jan - Dec), 2026",Banas Kantha,Gujarat,India,24,441,3120506,Densely Populated,414915,2705591,1610379,216638,1393741,1510127,198277,1311850,560411,81973,478438,19825,1020000,1040526,2.998969752,Very Sparse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
03-05-2026,"Calendar Year (Jan - Dec), 2026",Doda,Jammu And Kashmir,India,1,4,409936,Sparsely Populated,32689,377247,213641,18211,195430,196295,14478,181817,79636,6719,72917,1975,134385,136360,3.006277501,Very Sparse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
03-05-2026,"Calendar Year (Jan - Dec), 2026",Angul,Odisha,India,21,344,1273821,Moderately Populated,206546,1067275,655718,109333,546385,618103,97213,520890,297050,47317,249733,17688,405930,423618,3.007003952,Very Sparse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
03-05-2026,"Calendar Year (Jan - Dec), 2026",Ratlam,Madhya Pradesh,India,23,423,1455691,Moderately Populated,435031,1020660,738557,221773,516784,717134,213258,503876,296821,84829,211992,11179,472033,483212,3.012530732,Very Sparse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
03-05-2026,"Calendar Year (Jan - Dec), 2026",Kalahandi,Odisha,India,21,358,1577057,Moderately Populated,121987,1455070,787201,62455,724746,789856,59532,730324,401295,27947,373348,5469,518023,523492,3.012571348,Very Sparse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
03-05-2026,"Calendar Year (Jan - Dec), 2026",Ramanagara,Karnataka,India,29,631,1078325,Moderately Populated,267759,810566,545866,135570,410296,532459,132189,400270,259377,60860,198517,4244,352669,356913,3.021254479,Very Sparse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
03-05-2026,"Calendar Year (Jan - Dec), 2026",Balangir,Odisha,India,21,345,1649893,Moderately Populated,197381,1452512,830543,101327,729216,819350,96054,723296,414978,45476,369502,9369,536138,545507,3.024512976,Very Sparse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
03-05-2026,"Calendar Year (Jan - Dec), 2026",Sirsa,Haryana,India,6,74,1295189,Moderately Populated,319248,975941,682582,168405,514177,612607,150843,461764,246571,63076,183495,5898,422211,428109,3.025372043,Very Sparse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
03-05-2026,"Calendar Year (Jan - Dec), 2026",Katni,Madhya Pradesh,India,23,413,1297061,Moderately Populated,263543,1033518,664655,136825,527830,632406,126718,505688,290651,56429,234222,10061,415030,425091,3.051254908,Very Sparse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
03-05-2026,"Calendar Year (Jan - Dec), 2026",Lohardaga,Jharkhand,India,20,336,461790,Sparsely Populated,57411,404379,232629,29374,203255,229161,28037,201124,88638,11102,77536,3520,147612,151132,3.055540852,Very Sparse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
03-05-2026,"Calendar Year (Jan - Dec), 2026",Sonepur,Odisha,India,21,372,610183,Moderately Populated,49941,560242,311312,25678,285634,298871,24263,274608,151136,11790,139346,5284,194366,199650,3.056263461,Very Sparse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
03-05-2026,"Calendar Year (Jan - Dec), 2026",North Tripura,Tripura,India,16,270,417441,Sparsely Populated,79455,337986,212650,40584,172066,204791,38871,165920,90294,18623,71671,4991,131148,136139,3.066285194,Very Sparse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
03-05-2026,"Calendar Year (Jan - Dec), 2026",Satna,Madhya Pradesh,India,23,426,1555630,Moderately Populated,483497,1072133,812257,254432,557825,743373,229065,514308,326225,94656,231569,28139,479045,507184,3.067190605,Very Sparse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
03-05-2026,"Calendar Year (Jan - Dec), 2026",Tikamgarh,Madhya Pradesh,India,23,434,1058841,Moderately Populated,188459,870382,556504,98455,458049,502337,90004,412333,215904,34516,181388,13416,330985,344401,3.074442293,Very Sparse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
03-05-2026,"Calendar Year (Jan - Dec), 2026",Bidar,Karnataka,India,29,529,1703324,Moderately Populated,425952,1277372,870696,219415,651281,832628,206537,626091,320027,79958,240069,16473,534483,550956,3.091579001,Very Sparse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
03-05-2026,"Calendar Year (Jan - Dec), 2026",Sivaganga,Tamil Nadu,India,33,585,1329536,Moderately Populated,403280,926256,663805,201595,462210,665731,201685,464046,336505,101992,234513,16432,411933,428365,3.103745637,Very Sparse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
03-05-2026,"Calendar Year (Jan - Dec), 2026",Chhotaudepur,Gujarat,India,24,668,1071831,Moderately Populated,72415,999416,544849,37147,507702,526982,35268,491714,200614,15204,185410,2106,340718,342824,3.126475976,Very Sparse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
03-05-2026,"Calendar Year (Jan - Dec), 2026",Parvathipuram Manyam,Andhra Pradesh,India,28,743,821996,Moderately Populated,20760,801236,403791,10069,393722,418205,10691,407514,203900,5195,198705,615,262165,262780,3.128076718,Very Sparse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
03-05-2026,"Calendar Year (Jan - Dec), 2026",Eluru,Andhra Pradesh,India,28,748,1793683,Moderately Populated,38357,1755326,897773,18766,879007,895910,19591,876319,496800,10107,486693,1148,572265,573413,3.128082203,Very Sparse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
03-05-2026,"Calendar Year (Jan - Dec), 2026",Chitrakoot,Uttar Pradesh,India,9,136,991730,Moderately Populated,96332,895398,527721,50927,476794,464009,45405,418604,168232,16954,151278,2877,308908,311785,3.180813702,Very Sparse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
03-05-2026,"Calendar Year (Jan - Dec), 2026",Khowai,Tripura,India,16,652,327564,Sparsely Populated,39558,288006,167401,19877,147524,160163,19681,140482,77384,9977,67407,957,101694,102651,3.191045387,Very Sparse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
03-05-2026,"Calendar Year (Jan - Dec), 2026",Suryapet,Telangana,India,36,696,1099560,Moderately Populated,171039,928521,550974,84783,466191,548586,86256,462330,285691,41327,244364,5590,338820,344410,3.192590227,Very Sparse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
03-05-2026,"Calendar Year (Jan - Dec), 2026",Solan,Himachal Pradesh,India,2,25,580320,Moderately Populated,102147,478173,308754,59018,249736,271566,43129,228437,122425,25915,96510,3378,177586,180964,3.206825667,Very Sparse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
03-05-2026,"Calendar Year (Jan - Dec), 2026",Perambalur,Tamil Nadu,India,33,581,565223,Moderately Populated,97163,468060,282157,48231,233926,283066,48932,234134,149243,25298,123945,8367,167851,176218,3.207521366,Very Sparse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
03-05-2026,"Calendar Year (Jan - Dec), 2026",Niwari,Madhya Pradesh,India,23,722,377924,Sparsely Populated,52335,325589,199384,27582,171802,178540,24753,153787,78626,10122,68504,7804,109151,116955,3.23136249,Very Sparse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
03-05-2026,"Calendar Year (Jan - Dec), 2026",Ramanathapuram,Tamil Nadu,India,33,583,1353445,Moderately Populated,410699,942746,682658,208150,474508,670787,202549,468238,323905,95141,228764,19102,397678,416779,3.247392503,Very Sparse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
03-05-2026,"Calendar Year (Jan - Dec), 2026",Kurnool,Andhra Pradesh,India,28,511,2574216,Densely Populated,1056249,1517967,1293991,527888,766103,1280225,528361,751864,533950,227003,306947,26758,765769,792527,3.248111421,Very Sparse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
03-05-2026,"Calendar Year (Jan - Dec), 2026",Khammam,Telangana,India,36,509,1401639,Moderately Populated,316828,1084811,699124,156624,542500,702515,160204,542311,382929,83279,299650,6150,422888,429038,3.266934397,Very Sparse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
03-05-2026,"Calendar Year (Jan - Dec), 2026",Garhwa,Jharkhand,India,20,328,1323498,Moderately Populated,69670,1253828,683933,36628,647305,639565,33042,606523,254818,13233,241585,3950,400465,404415,3.272623419,Very Sparse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
03-05-2026,"Calendar Year (Jan - Dec), 2026",Ujjain,Madhya Pradesh,India,23,435,1987816,Moderately Populated,779213,1208603,1016804,399936,616868,971012,379277,591735,391613,152488,239125,19421,587239,606660,3.276655787,Very Sparse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
03-05-2026,"Calendar Year (Jan - Dec), 2026",Arvalli,Gujarat,India,24,672,1023515,Moderately Populated,126562,896953,523996,65405,458591,499519,61157,438362,203227,26508,176719,7199,303569,310768,3.293501905,Very Sparse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
03-05-2026,"Calendar Year (Jan - Dec), 2026",Haveri,Karnataka,India,29,540,1595786,Moderately Populated,355501,1240285,818162,180678,637484,777624,174823,602801,330036,73219,256817,14340,470153,484493,3.293723542,Very Sparse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
03-05-2026,"Calendar Year (Jan - Dec), 2026",Akola,Maharashtra,India,27,467,1816503,Moderately Populated,719741,1096762,933643,368401,565242,882860,351340,531520,396209,145530,250679,8396,541428,549824,3.30378994,Very Sparse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
