srcYear,srcStateCode,srcStateName,srcDistrictCode,srcDistrictName,srcCalendarDay,Country,YearCode,Year,StateCode,StateName,DayCode,CalendarDay,DistrictCode,DistrictName,TotalPopulation,TotalPopulationUrban,TotalPopulationRural,TotalPopulationMale,TotalPopulationMaleUrban,TotalPopulationMaleRural,TotalPopulationFemale,TotalPopulationFemaleUrban,TotalPopulationFemaleRural,NumberOfHouseholds,NumberOfHouseholdsUrban,NumberOfHouseholdsRural,LandAreaUrban,LandAreaRural,LandArea,LandAreaMappingError%,LandAreaUrbanMappingError%,LandAreaRuralMappingError%,TotalPopulationMappingError%,TotalPopulationUrbanMappingError%,TotalPopulationRuralMappingError%,TotalPopulationMaleMappingError%,TotalPopulationMaleUrbanMappingError%,TotalPopulationMaleRuralMappingError%,TotalPopulationFeMaleMappingError%,TotalPopulationFeMaleUrbanMappingError%,TotalPopulationFeMaleRuralMappingError%,NumberOfHouseholdsMappingError%,NumberOfHouseholdsUrbanMappingError%,NumberOfHouseholdsRuralMappingError%,NumberOfChildren,NumberOfParents,WeighingRatio_TotalPopulation,WeighingRatio_Percentage_TotalPopulation,WeighingRatio_TotalPopulationUrban,WeighingRatio_Percentage_TotalPopulationUrban,WeighingRatio_TotalPopulationRural,WeighingRatio_Percentage_TotalPopulationRural,WeighingRatio_TotalPopulationMale,WeighingRatio_Percentage_TotalPopulationMale,WeighingRatio_TotalPopulationMaleUrban,WeighingRatio_Percentage_TotalPopulationMaleUrban,WeighingRatio_TotalPopulationMaleRural,WeighingRatio_Percentage_TotalPopulationMaleRural,WeighingRatio_TotalPopulationFemale,WeighingRatio_Percentage_TotalPopulationFemale,WeighingRatio_TotalPopulationFemaleUrban,WeighingRatio_Percentage_TotalPopulationFemaleUrban,WeighingRatio_TotalPopulationFemaleRural,WeighingRatio_Percentage_TotalPopulationFemaleRural,WeighingRatio_NumberOfHouseholds,WeighingRatio_Percentage_NumberOfHouseholds,WeighingRatio_NumberOfHouseholdsUrban,WeighingRatio_Percentage_NumberOfHouseholdsUrban,WeighingRatio_NumberOfHouseholdsRural,WeighingRatio_Percentage_NumberOfHouseholdsRural,WeighingRatio_LandAreaUrban,WeighingRatio_Percentage_LandAreaUrban,WeighingRatio_LandAreaRural,WeighingRatio_Percentage_LandAreaRural,WeighingRatio_LandArea,WeighingRatio_Percentage_LandArea
2026,33,TAMIL NADU,571,DHARMAPURI,03-May-2026,India,2026,"Calendar Year (Jan - Dec), 2026",33,TAMIL NADU,20260503,2026-05-03,571,DHARMAPURI,1506843,260912,1245931,774303,131088,643215,732540,129824,602716,375873,65464,310409,8957,442639.2,451596.1875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2026,33,TAMIL NADU,572,DINDIGUL,03-May-2026,India,2026,"Calendar Year (Jan - Dec), 2026",33,TAMIL NADU,20260503,2026-05-03,572,DINDIGUL,2159888,808040,1351848,1080991,402333,678658,1078897,405707,673190,560802,209803,350999,56279,487435.6,543714.60546875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2026,33,TAMIL NADU,573,ERODE,03-May-2026,India,2026,"Calendar Year (Jan - Dec), 2026",33,TAMIL NADU,20260503,2026-05-03,573,ERODE,2255291,1161523,1093768,1131776,579383,552393,1123515,582140,541375,658534,335032,323502,74342,497027.12,571369.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2026,33,TAMIL NADU,574,KANCHIPURAM,03-May-2026,India,2026,"Calendar Year (Jan - Dec), 2026",33,TAMIL NADU,20260503,2026-05-03,574,KANCHIPURAM,1200475,634114,566361,603900,318609,285291,596575,315505,281070,298369,158685,139684,19702.9,146050.95,165753.853125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2026,33,TAMIL NADU,575,KANNIYAKUMARI,03-May-2026,India,2026,"Calendar Year (Jan - Dec), 2026",33,TAMIL NADU,20260503,2026-05-03,575,KANNIYAKUMARI,1870374,1539802,330572,926345,761407,164938,944029,778395,165634,483539,398061,85478,66284,101968.03,168252.03125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2026,33,TAMIL NADU,576,KARUR,03-May-2026,India,2026,"Calendar Year (Jan - Dec), 2026",33,TAMIL NADU,20260503,2026-05-03,576,KARUR,1064493,434517,629976,528184,215556,312628,536309,218961,317348,287095,118699,168396,28350,257804.73,286154.734375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2026,33,TAMIL NADU,577,KRISHNAGIRI,03-May-2026,India,2026,"Calendar Year (Jan - Dec), 2026",33,TAMIL NADU,20260503,2026-05-03,577,KRISHNAGIRI,1879809,428363,1451446,960232,217788,742444,919577,210575,709002,448053,105194,342859,16327,500777.9,517104.90625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2026,33,TAMIL NADU,578,MADURAI,03-May-2026,India,2026,"Calendar Year (Jan - Dec), 2026",33,TAMIL NADU,20260503,2026-05-03,578,MADURAI,3038252,1846801,1191451,1526475,925228,601247,1511777,921573,590204,794887,479851,315036,31745,360594.28,392339.28125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2026,33,TAMIL NADU,579,NAGAPATTINAM,03-May-2026,India,2026,"Calendar Year (Jan - Dec), 2026",33,TAMIL NADU,20260503,2026-05-03,579,NAGAPATTINAM,698094,188056,510038,345476,92162,253314,352618,95894,256724,183344,45960,137384,11990,110873.125,122863.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2026,33,TAMIL NADU,580,NAMAKKAL,03-May-2026,India,2026,"Calendar Year (Jan - Dec), 2026",33,TAMIL NADU,20260503,2026-05-03,580,NAMAKKAL,1726601,696125,1030476,869280,348596,520684,857321,347529,509792,475511,192263,283248,30057.5,310515.8,340573.3125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
